Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Andris Biedrins,2005,2014,C,6-11,240,"April 2, 1986",
Andy Panko,2001,2001,F,6-9,222,"November 27, 1977",Lebanon Valley College
Andy Rautins,2011,2011,G,6-4,190,"November 2, 1986",Syracuse University
Andy Toolson,1991,1996,G-F,6-6,210,"January 19, 1966",Brigham Young University
Anfernee Hardaway,1994,2008,G-F,6-7,195,"July 18, 1971",University of Memphis
Anfernee Simons,2019,2019,G,6-4,185,"June 8, 1999",
Angel Delgado,2019,2019,C,6-10,245,"November 20, 1994",Seton Hall University
Ansu Sesay,2002,2005,F,6-9,225,"July 29, 1976",University of Mississippi
Antawn Jamison,1999,2014,F,6-8,223,"June 12, 1976",University of North Carolina
Ante Zizic,2018,2019,F-C,6-11,254,"January 4, 1997",
Anthony Avent,1993,2000,F,6-9,235,"October 18, 1969",Seton Hall University
Anthony Bennett,2014,2017,F,6-8,245,"March 14, 1993","University of Nevada, Las Vegas"
Anthony Bonner,1991,1996,F,6-8,215,"June 8, 1968",Saint Louis University
Anthony Bowie,1989,1998,G-F,6-6,190,"November 9, 1963",University of Oklahoma
Anthony Brown,2016,2018,F-G,6-7,210,"October 10, 1992",Stanford University
Anthony Carter,2000,2012,G,6-1,190,"June 16, 1975",University of Hawaii
Anthony Cook,1991,1996,F-C,6-9,205,"March 19, 1967",University of Arizona
Anthony Davis,2013,2019,F-C,6-10,253,"March 11, 1993",University of Kentucky
Anthony Frederick,1989,1992,F,6-7,205,"December 7, 1964",Pepperdine University
Anthony Goldwire,1996,2006,G,6-1,182,"September 6, 1971",University of Houston
Anthony Grundy,2006,2006,G,6-3,180,"April 15, 1979",North Carolina State University
Anthony Johnson,1998,2010,G,6-3,190,"October 2, 1974",College of Charleston
Anthony Jones,1987,1990,G-F,6-6,195,"September 13, 1962","Georgetown University, University of Nevada, Las Vegas"
Anthony Mason,1990,2003,F,6-7,250,"December 14, 1966",Tennessee State University
Anthony Miller,1995,2005,F,6-9,225,"October 22, 1971",Michigan State University
Anthony Morrow,2009,2017,G,6-5,210,"September 27, 1985",Georgia Institute of Technology
Anthony Parker,1998,2012,G,6-6,215,"June 19, 1975",Bradley University
Anthony Peeler,1993,2005,G,6-4,208,"November 25, 1969",University of Missouri
Anthony Pullard,1993,1993,F,6-10,245,"June 23, 1966",McNeese State University
Anthony Randolph,2009,2014,F,6-10,205,"July 15, 1989",Louisiana State University
Anthony Roberson,2006,2009,G,6-2,180,"February 14, 1983",University of Florida
Anthony Taylor,1989,1989,G,6-4,175,"November 30, 1965",University of Oregon
Anthony Tolliver,2009,2019,F-C,6-8,250,"June 1, 1985",Creighton University
Anthony Tucker,1995,1995,F,6-8,220,"April 4, 1969","Georgetown University, Wake Forest University"
Antoine Carr,1985,2000,F-C,6-9,225,"July 23, 1961",Wichita State University
Antoine Rigaudeau,2003,2003,G,6-7,210,"December 17, 1971",
Antoine Walker,1997,2008,F,6-8,224,"August 12, 1976",University of Kentucky
Antoine Wright,2006,2011,G-F,6-7,210,"February 6, 1984",Texas A&M University
Antonio Anderson,2010,2010,G,6-6,215,"June 5, 1985",University of Memphis
Antonio Blakeney,2018,2019,G,6-4,192,"October 4, 1996",Louisiana State University
Antonio Burks,2005,2006,G,6-1,200,"February 25, 1980",University of Memphis
Antonio Daniels,1998,2011,G,6-4,195,"March 19, 1975",Bowling Green State University
Antonio Davis,1994,2006,F-C,6-9,215,"October 31, 1968",University of Texas at El Paso
Antonio Harvey,1994,2003,F-C,6-11,225,"July 6, 1970","Southern Illinois University, University of Georgia, Pfeiffer University"
Antonio Lang,1995,2000,F-G,6-8,205,"May 15, 1972",Duke University
Antonio McDyess,1996,2011,F-C,6-9,220,"September 7, 1974",University of Alabama
Antonis Fotsis,2002,2002,F,6-10,219,"April 1, 1981",
Antonius Cleveland,2018,2018,G,6-6,195,"February 2, 1994",Southeast Missouri State University
Archie Goodwin,2014,2017,G,6-5,200,"August 17, 1994",University of Kentucky
Arinze Onuaku,2014,2017,C,6-9,255,"July 13, 1987",Syracuse University
Armen Gilliam,1988,2000,F-C,6-9,230,"May 28, 1964","University of Nevada, Las Vegas"
Armon Johnson,2011,2012,G,6-3,195,"February 23, 1989","University of Nevada, Reno"
Arnett Moultrie,2013,2014,F,6-11,249,"November 18, 1990","University of Texas at El Paso, Mississippi State University"
Aron Baynes,2013,2019,C,6-10,260,"December 9, 1986",Washington State University
Arron Afflalo,2008,2018,G-F,6-5,210,"October 15, 1985","University of California, Los Angeles"
Art Collins,1981,1981,G,6-4,185,"April 14, 1954",St. Thomas University
Art Long,2001,2003,F,6-9,250,"October 1, 1972",University of Cincinnati
Arvydas Macijauskas,2006,2006,G,6-4,214,"January 19, 1980",
Arvydas Sabonis*,1996,2003,C,7-3,279,"December 19, 1964",
Ashraf Amaya,1996,1997,F,6-8,230,"November 23, 1971",Southern Illinois University
Askia Jones,1995,1995,G,6-5,200,"December 3, 1971",Kansas State University
Audie Norris,1983,1985,C,6-9,230,"December 18, 1960",Jackson State University
Austin Croshere,1998,2009,F,6-9,235,"May 1, 1975",Providence College
Austin Daye,2010,2015,F,6-11,220,"June 5, 1988",Gonzaga University
Austin Rivers,2013,2019,G,6-4,200,"August 1, 1992",Duke University
Avery Bradley,2011,2019,G,6-2,180,"November 26, 1990",University of Texas at Austin
Avery Johnson,1989,2004,G,5-10,175,"March 25, 1965","Cameron University, Southern University and A&M College"
Awvee Storey,2005,2008,G-F,6-6,222,"April 18, 1977","University of Illinois at Urbana-Champaign, Arizona State University"
Axel Toupane,2016,2017,G-F,6-7,197,"July 23, 1992",
B.J. Armstrong,1990,2000,G,6-2,175,"September 9, 1967",University of Iowa
B.J. Johnson,2019,2019,G,6-7,200,"December 21, 1995","Syracuse University, La Salle University"
B.J. Tyler,1995,1995,G,6-1,185,"April 30, 1971","DePaul University, University of Texas at Austin"
Bam Adebayo,2018,2019,C-F,6-10,255,"July 18, 1997",University of Kentucky
Baron Davis,2000,2012,G,6-3,209,"April 13, 1979","University of California, Los Angeles"
Barry Stevens,1993,1993,G-F,6-5,195,"January 17, 1963",Iowa State University
Barry Sumpter,1989,1989,F-C,6-11,215,"November 11, 1965","University of Louisville, Austin Peay State University"
Bart Kofoed,1988,1993,G,6-4,210,"March 24, 1964","Hastings College, University of Nebraska at Kearney"
Ben Bentil,2017,2017,F,6-9,235,"March 29, 1995",Providence College
Ben Coleman,1987,1994,F,6-9,235,"November 14, 1961","University of Minnesota, University of Maryland"
Ben Davis,1997,2000,F,6-9,240,"December 26, 1972","University of Kansas, University of Arizona"
Ben Gillery,1989,1989,C,7-0,235,"September 19, 1965",Georgetown University
Ben Gordon,2005,2015,G,6-3,200,"April 4, 1983",University of Connecticut
Ben Handlogten,2004,2005,C,6-10,240,"November 16, 1973",Western Michigan University
Ben Hansbrough,2013,2013,G,6-3,203,"December 23, 1987","Mississippi State University, University of Notre Dame"
Ben McDonald,1986,1989,F,6-8,210,"July 20, 1962","University of California, Irvine"
Ben McLemore,2014,2019,G,6-5,201,"February 11, 1993",University of Kansas
Ben Moore,2018,2018,F,6-8,220,"May 13, 1995",Southern Methodist University
Ben Simmons,2018,2019,G-F,6-10,230,"July 20, 1996",Louisiana State University
Ben Uzoh,2011,2012,G,6-3,205,"March 19, 1988",University of Tulsa
Ben Wallace,1997,2012,F-C,6-9,240,"September 10, 1974",Virginia Union University
Beno Udrih,2005,2017,G,6-3,205,"July 5, 1982",
Benoit Benjamin,1986,2000,C,7-0,250,"November 22, 1964",Creighton University
Bernard James,2013,2015,C,6-10,240,"February 7, 1985",Florida State University
Bernard Robinson,2005,2007,G-F,6-6,210,"December 26, 1980",University of Michigan
Bernard Thompson,1985,1989,F-G,6-6,210,"August 30, 1962","California State University, Fresno"
Bill Curley,1995,2001,F,6-9,220,"May 29, 1972",Boston College
Bill Edwards,1994,1994,F,6-8,215,"September 22, 1971",Wright State University
Bill Garnett,1983,1986,F,6-9,225,"April 22, 1960",University of Wyoming
Bill Hanzlik,1981,1990,G-F,6-7,185,"December 6, 1957",University of Notre Dame
Bill Jones,1989,1989,F,6-7,175,"March 18, 1966",University of Iowa
Bill Laimbeer,1981,1994,C,6-11,245,"May 19, 1957",University of Notre Dame
Bill Martin,1986,1988,F,6-7,205,"August 16, 1962",Georgetown University
Bill Mayfield,1981,1981,F,6-7,205,"October 17, 1957",University of Iowa
Bill Wennington,1986,2000,C,7-0,245,"April 26, 1963",St. John's University
Billy Donovan,1988,1988,G,5-11,171,"May 30, 1965",Providence College
Billy Garrett,2019,2019,G,6-6,213,"October 16, 1994",DePaul University
Billy Owens,1992,2001,F-G,6-8,220,"May 1, 1969",Syracuse University
Billy Reid,1981,1981,G,6-5,190,"September 10, 1957","University of New Mexico, University of San Francisco"
Billy Thomas,2005,2008,G,6-4,208,"December 23, 1975",University of Kansas
Billy Thompson,1987,1992,F,6-7,195,"December 1, 1963",University of Louisville
Bimbo Coles,1991,2004,G,6-1,180,"April 22, 1968",Virginia Polytechnic Institute and State University
Bismack Biyombo,2012,2019,C-F,6-9,255,"August 28, 1992",
Bison Dele,1992,1999,F-C,6-9,235,"April 6, 1969","University of Maryland, University of Arizona"
Blair Rasmussen,1986,1993,C,7-0,250,"November 13, 1962",University of Oregon
Blake Ahearn,2008,2012,G,6-2,190,"May 27, 1984",Missouri State University
Blake Griffin,2011,2019,F,6-10,250,"March 16, 1989",University of Oklahoma
Blue Edwards,1990,1999,G-F,6-4,200,"October 31, 1965",East Carolina University
Bo Kimble,1991,1993,G,6-4,190,"April 9, 1966","University of Southern California, Loyola Marymount University"
Bo Outlaw,1994,2008,F,6-8,210,"April 13, 1971","South Plains College, University of Houston"
Bob Hansen,1984,1992,G,6-6,190,"January 18, 1961",University of Iowa
Bob Martin,1994,1995,C,7-0,250,"October 7, 1969",University of Minnesota
Bob McCann,1990,1998,F,6-6,244,"April 22, 1964","Upsala College, Morehead State University"
Bob Miller,1984,1984,F,6-10,230,"July 9, 1956",University of Cincinnati
Bob Sura,1996,2005,G,6-5,200,"March 25, 1973",Florida State University
Bob Thornton,1986,1996,F-C,6-10,225,"July 10, 1962","University of California, Irvine"
Boban Marjanovic,2016,2019,C,7-3,290,"August 15, 1988",
Bobby Brown,2009,2018,G,6-2,175,"September 24, 1984","California State University, Fullerton"
Bobby Cattage,1982,1986,F,6-9,250,"August 17, 1958",Auburn University
Bobby Hurley,1994,1998,G,6-0,165,"June 28, 1971",Duke University
Bobby Jackson,1998,2009,G,6-1,185,"March 13, 1973",University of Minnesota
Bobby Jones,2007,2008,F,6-7,215,"January 9, 1984",University of Washington
Bobby Phills,1992,2000,G,6-5,210,"December 20, 1969",Southern University and A&M College
Bobby Portis,2016,2019,F,6-11,250,"February 10, 1995",University of Arkansas
Bobby Simmons,2002,2012,G-F,6-7,210,"June 2, 1980",DePaul University
Bogdan Bogdanovic,2018,2019,G,6-6,205,"August 18, 1992",
Bojan Bogdanovic,2015,2019,G-F,6-8,216,"April 18, 1989",
Boniface N'Dong,2006,2006,C,7-0,198,"March 9, 1977",
Bonzi Wells,1999,2008,G-F,6-5,210,"September 28, 1976",Ball State University
Bonzie Colson,2019,2019,F,6-6,224,"January 12, 1996",University of Notre Dame
Boris Diaw,2004,2017,F-C,6-8,250,"April 16, 1982",
Bostjan Nachbar,2003,2008,F,6-9,221,"July 3, 1980",
Bracey Wright,2006,2007,G,6-3,210,"July 1, 1984",Indiana University
Brad Branson,1982,1983,C-F,6-10,220,"September 24, 1958",Southern Methodist University
Brad Daugherty,1987,1994,C,7-0,245,"October 19, 1965",University of North Carolina
Brad Lohaus,1988,1998,F-C,6-11,230,"September 29, 1964",University of Iowa
Brad Miller,1999,2012,C,6-11,244,"April 12, 1976",Purdue University
Brad Sellers,1987,1993,C-F,7-0,210,"December 17, 1962","University of Wisconsin, Ohio State University"
Brad Wanamaker,2019,2019,G,6-4,210,"July 25, 1989",University of Pittsburgh
Brad Wright,1987,1988,F,6-11,225,"March 26, 1962","University of California, Los Angeles"
Bradley Beal,2013,2019,G,6-5,207,"June 28, 1993",University of Florida
Brandan Wright,2008,2018,F-C,6-10,210,"October 5, 1987",University of North Carolina
Branden Dawson,2016,2016,F,6-6,225,"February 1, 1993",Michigan State University
Brandin Knight,2005,2005,G,6-0,180,"December 16, 1981",University of Pittsburgh
Brandon Armstrong,2002,2004,G,6-5,188,"June 16, 1980",Pepperdine University
Brandon Bass,2006,2017,F,6-8,250,"April 30, 1985",Louisiana State University
Brandon Davies,2014,2015,F,6-10,240,"July 25, 1991",Brigham Young University
Brandon Goodwin,2019,2019,G,6-2,180,"October 2, 1995","University of Central Florida, Florida Gulf Coast University"
Brandon Hunter,2004,2005,F,6-7,260,"November 24, 1980",Ohio University
Brandon Ingram,2017,2019,F,6-9,190,"September 2, 1997",Duke University
Brandon Jennings,2010,2018,G,6-1,170,"September 23, 1989",
Brandon Knight,2012,2019,G,6-3,195,"December 2, 1991",University of Kentucky
Brandon Paul,2018,2018,G,6-4,200,"April 30, 1991",University of Illinois at Urbana-Champaign
Brandon Roy,2007,2013,G,6-6,215,"July 23, 1984",University of Washington
Brandon Rush,2009,2017,G-F,6-6,220,"July 7, 1985",University of Kansas
Brandon Sampson,2019,2019,G,6-5,184,"May 1, 1997",Louisiana State University
Brandon Williams,1998,2003,G,6-6,215,"February 27, 1975",Davidson College
Brant Weidner,1984,1984,F,6-9,230,"October 28, 1960",College of William & Mary
Brendan Haywood,2002,2015,C,7-0,268,"November 27, 1979",University of North Carolina
Brent Barry,1996,2009,G,6-6,185,"December 31, 1971",Oregon State University
Brent Price,1993,2002,G,6-1,165,"December 9, 1968","University of South Carolina, University of Oklahoma"
Brent Scott,1997,1997,F-C,6-10,250,"June 15, 1971",Rice University
Brett Szabo,1997,1997,C,6-11,230,"February 1, 1968",Augustana College (SD)
Brett Vroman,1981,1981,C,7-0,220,"December 25, 1955","University of California, Los Angeles, University of Nevada, Las Vegas"
Brevin Knight,1998,2009,G,5-10,173,"November 8, 1975",Stanford University
Brian Cardinal,2001,2012,F,6-8,245,"May 2, 1977",Purdue University
Brian Cook,2004,2012,F,6-9,234,"December 4, 1980",University of Illinois at Urbana-Champaign
Brian Davis,1994,1994,F-G,6-7,200,"June 21, 1970",Duke University
Brian Evans,1997,1999,F,6-8,220,"September 13, 1973",Indiana University
Brian Grant,1995,2006,F,6-9,254,"March 5, 1972",Xavier University
Brian Howard,1992,1993,F,6-6,204,"October 19, 1967",North Carolina State University
Brian Martin,1986,1986,F,6-9,212,"August 18, 1962",University of Kansas
Brian Oliver,1991,1998,G,6-4,210,"June 1, 1968",Georgia Institute of Technology
Brian Quinnett,1990,1992,F,6-8,235,"May 30, 1966",Washington State University
Brian Roberts,2013,2017,G,6-1,173,"December 3, 1985",University of Dayton
Brian Rowsom,1988,1990,F,6-9,220,"October 23, 1965",University of North Carolina at Wilmington
Brian Scalabrine,2002,2012,F,6-9,241,"March 18, 1978",University of Southern California
Brian Shaw,1989,2003,G,6-6,190,"March 22, 1966","Saint Mary's College of California, University of California, Santa Barbara"
Brian Skinner,1999,2012,F,6-9,255,"May 19, 1976",Baylor University
Briante Weber,2016,2018,G,6-2,165,"December 29, 1992",Virginia Commonwealth University
Brice Johnson,2017,2018,F,6-10,230,"June 27, 1994",University of North Carolina
Britton Johnsen,2004,2005,F,6-10,210,"July 8, 1979",University of Utah
Brook Lopez,2009,2019,C,7-0,270,"April 1, 1988",Stanford University
Brook Steppe,1983,1989,G-F,6-5,195,"November 7, 1959",Georgia Institute of Technology
Brooks Thompson,1995,1998,G,6-4,193,"July 19, 1970","Texas A&M University, Oklahoma State University"
Bruce Bowen,1997,2009,F,6-7,185,"June 14, 1971","California State University, Fullerton"
Bruce Brown,2019,2019,G,6-5,202,"August 15, 1996",University of Miami
Bruce Douglas,1987,1987,G,6-3,195,"April 9, 1964",University of Illinois at Urbana-Champaign
Bruce Flowers,1983,1983,F,6-8,225,"June 13, 1957",University of Notre Dame
Bruce Kuczenski,1984,1984,F,6-10,230,"February 3, 1961",University of Connecticut
Bruno Caboclo,2015,2019,F,6-9,218,"September 21, 1995",
Bruno Sundov,1999,2005,C,7-2,220,"February 10, 1980",
Bryan Warrick,1983,1986,G,6-5,195,"July 22, 1959",Saint Joseph's University
Bryant Reeves,1996,2001,C,7-0,275,"June 8, 1973",Oklahoma State University
Bryant Stith,1993,2002,G,6-5,208,"December 10, 1970",University of Virginia
Bryce Cotton,2015,2016,G,6-1,165,"August 11, 1992",Providence College
Bryce Dejean-Jones,2016,2016,G,6-6,209,"August 21, 1992","University of Southern California, University of Nevada, Las Vegas, Iowa State University"
Bryce Drew,1999,2004,G,6-2,185,"September 21, 1974",Valparaiso University
Bryn Forbes,2017,2019,G,6-3,190,"July 23, 1993",Michigan State University
Bryon Russell,1994,2006,F,6-7,225,"December 31, 1970","California State University, Long Beach"
Bubba Wells,1998,1998,F,6-5,230,"July 26, 1974",Austin Peay State University
Buck Johnson,1987,1993,F,6-7,190,"January 3, 1964",University of Alabama
Buck Williams,1982,1998,F-C,6-8,215,"March 8, 1960",University of Maryland
Buddy Hield,2017,2019,G,6-4,214,"December 17, 1992",University of Oklahoma
Butch Carter,1981,1986,G,6-5,180,"June 11, 1958",Indiana University
Butch Graves,1985,1985,G,6-3,200,"January 5, 1962",Yale University
Byron Dinkins,1990,1991,G,6-1,170,"June 15, 1967",University of North Carolina at Charlotte
Byron Houston,1993,1996,F,6-5,250,"November 22, 1969",Oklahoma State University
Byron Irvin,1990,1993,G,6-5,190,"December 2, 1966","University of Arkansas, University of Missouri"
Byron Mullens,2010,2014,C,7-0,275,"February 14, 1989",Ohio State University
Byron Scott,1984,1997,G,6-3,195,"March 28, 1961",Arizona State University
C.J. Miles,2006,2019,G-F,6-6,220,"March 18, 1987",
C.J. Watson,2008,2017,G,6-2,175,"April 17, 1984",University of Tennessee
C.J. Wilcox,2015,2017,G,6-5,195,"December 30, 1990",University of Washington
C.J. Williams,2018,2019,G,6-5,226,"February 6, 1990",North Carolina State University
CJ McCollum,2014,2019,G,6-3,190,"September 19, 1991",Lehigh University
Cal Bowdler,2000,2002,F,6-10,245,"March 31, 1977",Old Dominion University
Calbert Cheaney,1994,2006,G-F,6-7,209,"July 17, 1971",Indiana University
Caleb Swanigan,2018,2019,F,6-9,250,"April 18, 1997",Purdue University
Calvin Booth,2000,2009,C,6-11,230,"May 7, 1976",Pennsylvania State University
