ID,Player,From,To,Ht(cm),Wt(kg),Birth Date,Colleges,MVP,Finals MVP,All-Star MVP,Most Improved,Sixth Man,Defence Player,Rookie,All 1st,All 2nd,All 3rd,All Tot,All-Star,D Tot,D 1st,D 2nd,Total Awards
naderab01,Abdel Nader,2018.0,2019.0,198.12,225.0,"September 25, 1993","Northern Illinois University, Iowa State University",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
earlac01,Acie Earl,1994.0,1997.0,208.28,240.0,"June 23, 1970",University of Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lawac01,Acie Law,2008.0,2011.0,190.5,195.0,"January 25, 1985",Texas A&M University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
harriad01,Adam Harrington,2003.0,2003.0,195.58,200.0,"July 5, 1980","North Carolina State University, Auburn University",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
keefead01,Adam Keefe,1993.0,2001.0,205.74,230.0,"February 22, 1970",Stanford University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
morriad01,Adam Morrison,2007.0,2010.0,203.2,205.0,"July 19, 1984",Gonzaga University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foylead01,Adonal Foyle,1998.0,2009.0,208.28,250.0,"March 9, 1975",Colgate University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jordaad01,Adonis Jordan,1994.0,1999.0,180.34,170.0,"August 21, 1970",University of Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thomaad01,Adonis Thomas,2014.0,2014.0,200.66,200.0,"March 25, 1993",University of Memphis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paynead01,Adreian Payne,2015.0,2018.0,208.28,237.0,"February 19, 1991",Michigan State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brancad01,Adrian Branch,1987.0,1990.0,200.66,185.0,"November 17, 1963",University of Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caldwad01,Adrian Caldwell,1990.0,1998.0,203.2,265.0,"July 4, 1966","Southern Methodist University, Lamar University",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
griffad01,Adrian Griffin,2000.0,2008.0,195.58,217.0,"July 4, 1974",Seton Hall University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
harrial01,Al Harrington,1999.0,2014.0,205.74,230.0,"February 17, 1980",None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
horfoal01,Al Horford,2008.0,2019.0,208.28,245.0,"June 3, 1986",University of Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,1.0,7.0
jeffeal01,Al Jefferson,2005.0,2018.0,208.28,289.0,"January 4, 1985",None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
thornal01,Al Thornton,2008.0,2011.0,203.2,220.0,"December 7, 1983",Florida State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
woodal01,Al Wood,1982.0,1987.0,198.12,193.0,"June 2, 1958",University of North Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aminual01,Al-Farouq Aminu,2011.0,2019.0,205.74,220.0,"September 21, 1990",Wake Forest University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abdelal01,Alaa Abdelnaby,1991.0,1995.0,208.28,240.0,"June 24, 1968",Duke University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anderal01,Alan Anderson,2006.0,2017.0,198.12,220.0,"October 16, 1982",Michigan State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hardyal01,Alan Hardy,1981.0,1982.0,200.66,195.0,"May 25, 1957",University of Michigan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hendeal01,Alan Henderson,1996.0,2007.0,205.74,235.0,"December 2, 1972",Indiana University,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
oggal01,Alan Ogg,1991.0,1993.0,218.44,240.0,"July 5, 1967",University of Alabama at Birmingham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
willial03,Alan Williams,2016.0,2019.0,203.2,265.0,"January 28, 1993","University of California, Santa Barbara",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tuckeal02,Alando Tucker,2008.0,2010.0,198.12,205.0,"February 11, 1984",University of Wisconsin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kingal01,Albert King,1982.0,1992.0,198.12,190.0,"December 17, 1959",University of Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burksal01,Alec Burks,2012.0,2019.0,198.12,214.0,"July 20, 1991",University of Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kesslal01,Alec Kessler,1991.0,1994.0,210.82,230.0,"January 13, 1967",University of Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peteral01,Alec Peters,2018.0,2018.0,205.74,232.0,"April 13, 1995",Valparaiso University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
djordal01,Aleksandar Djordjevic,1997.0,1997.0,187.96,198.0,"August 26, 1967",None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radojal01,Aleksandar Radojevic,2000.0,2005.0,220.98,250.0,"August 8, 1976",Barton County Community College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abrinal01,Alex Abrines,2017.0,2019.0,198.12,200.0,"August 1, 1993",None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ackeral01,Alex Acker,2006.0,2009.0,195.58,185.0,"January 21, 1983",Pepperdine University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blackal01,Alex Blackwell,1993.0,1993.0,198.12,250.0,"June 27, 1970",Monmouth University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bradlal02,Alex Bradley,1982.0,1982.0,198.12,215.0,"October 30, 1959",Villanova University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carusal01,Alex Caruso,2018.0,2019.0,195.58,186.0,"February 28, 1994",Texas A&M University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
garcial01,Alex Garcia,2004.0,2005.0,190.5,220.0,"March 4, 1980",None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kirkal01,Alex Kirk,2015.0,2015.0,213.36,245.0,"November 14, 1991",University of New Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lenal01,Alex Len,2014.0,2019.0,215.9,250.0,"June 16, 1993",University of Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poythal01,Alex Poythress,2017.0,2019.0,205.74,235.0,"September 6, 1993",University of Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scaleal01,Alex Scales,2006.0,2006.0,193.04,185.0,"July 3, 1978",University of Oregon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stephal01,Alex Stepheson,2016.0,2016.0,208.28,270.0,"August 7, 1987","University of North Carolina, University of Southern California",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stivral01,Alex Stivrins,1986.0,1993.0,203.2,220.0,"November 29, 1962","Creighton University, University of Colorado",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
johnsal01,Alexander Johnson,2007.0,2008.0,205.74,240.0,"February 8, 1983",Florida State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
volkoal01,Alexander Volkov,1990.0,1992.0,208.28,218.0,"March 28, 1964",None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shvedal01,Alexey Shved,2013.0,2015.0,198.12,190.0,"December 16, 1988",None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ajincal01,Alexis Ajinca,2009.0,2017.0,218.44,248.0,"May 6, 1988",None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mckinal01,Alfonzo McKinnie,2018.0,2019.0,203.2,215.0,"September 17, 1992",University of Wisconsin-Green Bay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hugheri01,Alfredrick Hughes,1986.0,1986.0,195.58,215.0,"July 19, 1962",Loyola University of Chicago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
johnsal02,Alize Johnson,2019.0,2019.0,205.74,212.0,"April 22, 1996",Missouri State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
houstal01,Allan Houston,1994.0,2005.0,198.12,200.0,"April 20, 1971",University of Tennessee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
rayal01,Allan Ray,2007.0,2007.0,187.96,190.0,"June 17, 1984",Villanova University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crabbal01,Allen Crabbe,2014.0,2019.0,198.12,212.0,"April 9, 1992",University of California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iversal01,Allen Iverson,1997.0,2010.0,182.88,165.0,"June 7, 1975",Georgetown University,1.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,7.0,11.0,0.0,0.0,0.0,22.0
trieral01,Allonzo Trier,2019.0,2019.0,195.58,200.0,"January 17, 1996",University of Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geeal01,Alonzo Gee,2010.0,2017.0,198.12,225.0,"May 29, 1987",University of Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mournal01,Alonzo Mourning,1993.0,2008.0,208.28,240.0,"February 8, 1970",Georgetown University,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,7.0,2.0,2.0,0.0,13.0
fordal01,Alphonso Ford,1994.0,1995.0,185.42,190.0,"October 31, 1971",Mississippi Valley State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fordal02,Alton Ford,2002.0,2004.0,205.74,275.0,"May 29, 1981",University of Houston,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
listeal01,Alton Lister,1982.0,1998.0,213.36,240.0,"October 1, 1958",Arizona State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heggsal01,Alvin Heggs,1996.0,1996.0,203.2,225.0,"December 12, 1967",University of Texas at Austin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jonesal01,Alvin Jones,2002.0,2002.0,210.82,265.0,"September 9, 1978",Georgia Institute of Technology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roberal01,Alvin Robertson,1985.0,1996.0,190.5,185.0,"July 22, 1962",University of Arkansas,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,2.0,4.0,13.0
simsal01,Alvin Sims,1999.0,1999.0,193.04,235.0,"October 18, 1974",University of Louisville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
willial02,Alvin Williams,1998.0,2007.0,195.58,185.0,"August 6, 1974",Villanova University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mccasam01,Amal McCaskill,1997.0,2004.0,210.82,235.0,"October 28, 1973",Marquette University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stoudam01,Amar'e Stoudemire,2003.0,2016.0,208.28,245.0,"November 16, 1982",None,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,5.0,6.0,0.0,0.0,0.0,12.0
jeffeam01,Amile Jefferson,2019.0,2019.0,205.74,222.0,"May 7, 1993",Duke University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
johnsam01,Amir Johnson,2006.0,2019.0,205.74,240.0,"May 1, 1987",None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
varejan01,Anderson Varejao,2005.0,2017.0,208.28,273.0,"September 28, 1982",None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
pattean01,Andrae Patterson,1999.0,2000.0,205.74,238.0,"November 12, 1975",Indiana University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blatcan01,Andray Blatche,2006.0,2014.0,210.82,235.0,"August 22, 1986",None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barrean01,Andre Barrett,2005.0,2008.0,177.8,172.0,"February 21, 1982",Seton Hall University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brownan01,Andre Brown,2007.0,2009.0,205.74,245.0,"May 12, 1981",DePaul University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dawkian01,Andre Dawkins,2015.0,2015.0,195.58,215.0,"September 19, 1991",Duke University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drumman01,Andre Drummond,2013.0,2019.0,210.82,279.0,"August 10, 1993",University of Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0
emmetan01,Andre Emmett,2005.0,2012.0,195.58,230.0,"August 27, 1982",Texas Tech University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iguodan01,Andre Iguodala,2005.0,2019.0,198.12,215.0,"January 28, 1984",University of Arizona,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,4.0
ingraan01,Andre Ingram,2018.0,2019.0,190.5,190.0,"November 19, 1985",American University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
millean02,Andre Miller,2000.0,2016.0,190.5,200.0,"March 19, 1976",University of Utah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
moorean01,Andre Moore,1988.0,1988.0,205.74,215.0,"July 2, 1964",Loyola University of Chicago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owensan01,Andre Owens,2006.0,2008.0,193.04,200.0,"October 31, 1980","Indiana University, University of Houston",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roberan03,Andre Roberson,2014.0,2018.0,200.66,210.0,"December 4, 1991",University of Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
spencan01,Andre Spencer,1993.0,1994.0,198.12,210.0,"July 20, 1964",Northern Arizona University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turnean01,Andre Turner,1987.0,1992.0,180.34,160.0,"December 13, 1964",University of Memphis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bargnan01,Andrea Bargnani,2007.0,2016.0,213.36,245.0,"October 26, 1985",None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glynian01,Andreas Glyniadakis,2007.0,2007.0,215.9,280.0,"August 21, 1981",None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kirilan01,Andrei Kirilenko,2002.0,2015.0,205.74,220.0,"February 18, 1981",None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,4.0
guibean01,Andres Guibert,1994.0,1995.0,208.28,225.0,"October 28, 1968",None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nocioan01,Andres Nocioni,2005.0,2012.0,200.66,225.0,"November 30, 1979",None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bogutan01,Andrew Bogut,2006.0,2019.0,213.36,260.0,"November 28, 1984",University of Utah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0
bynuman01,Andrew Bynum,2006.0,2014.0,213.36,285.0,"October 27, 1987",None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
declean01,Andrew DeClercq,1996.0,2005.0,208.28,230.0,"February 1, 1973",University of Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gazean01,Andrew Gaze,1994.0,1999.0,200.66,205.0,"July 24, 1965",Seton Hall University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goudean01,Andrew Goudelock,2012.0,2016.0,190.5,200.0,"December 7, 1988",College of Charleston,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
harrian01,Andrew Harrison,2017.0,2019.0,198.12,213.0,"October 28, 1994",University of Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
langan01,Andrew Lang,1989.0,2000.0,210.82,245.0,"June 28, 1966",University of Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nichoan01,Andrew Nicholson,2013.0,2017.0,205.74,250.0,"December 8, 1989",St. Bonaventure University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toneyan01,Andrew Toney,1981.0,1988.0,190.5,178.0,"November 23, 1957",University of Louisiana at Lafayette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
whitean01,Andrew White,2018.0,2018.0,200.66,210.0,"June 16, 1993","University of Nebraska, Syracuse University",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wiggian01,Andrew Wiggins,2015.0,2019.0,203.2,194.0,"February 23, 1995",University of Kansas,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
biedran01,Andris Biedrins,2005.0,2014.0,210.82,240.0,"April 2, 1986",None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pankoan01,Andy Panko,2001.0,2001.0,205.74,222.0,"November 27, 1977",Lebanon Valley College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rautian01,Andy Rautins,2011.0,2011.0,193.04,190.0,"November 2, 1986",Syracuse University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
