ID,Player,From,To,Ht(cm),Wt(kg),Birth Date,Colleges
foylead01,Adonal Foyle,1998,2009,208.28,250,"March 9, 1975",Colgate University
jordaad01,Adonis Jordan,1994,1999,180.34,170,"August 21, 1970",University of Kansas
thomaad01,Adonis Thomas,2014,2014,200.66,200,"March 25, 1993",University of Memphis
paynead01,Adreian Payne,2015,2018,208.28,237,"February 19, 1991",Michigan State University
brancad01,Adrian Branch,1987,1990,200.66,185,"November 17, 1963",University of Maryland
caldwad01,Adrian Caldwell,1990,1998,203.2,265,"July 4, 1966","Southern Methodist University, Lamar University"
griffad01,Adrian Griffin,2000,2008,195.58,217,"July 4, 1974",Seton Hall University
harrial01,Al Harrington,1999,2014,205.74,230,"February 17, 1980",None
horfoal01,Al Horford,2008,2019,208.28,245,"June 3, 1986",University of Florida
jeffeal01,Al Jefferson,2005,2018,208.28,289,"January 4, 1985",None
thornal01,Al Thornton,2008,2011,203.2,220,"December 7, 1983",Florida State University
woodal01,Al Wood,1982,1987,198.12,193,"June 2, 1958",University of North Carolina
aminual01,Al-Farouq Aminu,2011,2019,205.74,220,"September 21, 1990",Wake Forest University
abdelal01,Alaa Abdelnaby,1991,1995,208.28,240,"June 24, 1968",Duke University
anderal01,Alan Anderson,2006,2017,198.12,220,"October 16, 1982",Michigan State University
hardyal01,Alan Hardy,1981,1982,200.66,195,"May 25, 1957",University of Michigan
hendeal01,Alan Henderson,1996,2007,205.74,235,"December 2, 1972",Indiana University
oggal01,Alan Ogg,1991,1993,218.44,240,"July 5, 1967",University of Alabama at Birmingham
willial03,Alan Williams,2016,2019,203.2,265,"January 28, 1993","University of California, Santa Barbara"
tuckeal02,Alando Tucker,2008,2010,198.12,205,"February 11, 1984",University of Wisconsin
kingal01,Albert King,1982,1992,198.12,190,"December 17, 1959",University of Maryland
burksal01,Alec Burks,2012,2019,198.12,214,"July 20, 1991",University of Colorado
kesslal01,Alec Kessler,1991,1994,210.82,230,"January 13, 1967",University of Georgia
peteral01,Alec Peters,2018,2018,205.74,232,"April 13, 1995",Valparaiso University
djordal01,Aleksandar Djordjevic,1997,1997,187.96,198,"August 26, 1967",None
radojal01,Aleksandar Radojevic,2000,2005,220.98,250,"August 8, 1976",Barton County Community College
abrinal01,Alex Abrines,2017,2019,198.12,200,"August 1, 1993",None
ackeral01,Alex Acker,2006,2009,195.58,185,"January 21, 1983",Pepperdine University
blackal01,Alex Blackwell,1993,1993,198.12,250,"June 27, 1970",Monmouth University
bradlal02,Alex Bradley,1982,1982,198.12,215,"October 30, 1959",Villanova University
carusal01,Alex Caruso,2018,2019,195.58,186,"February 28, 1994",Texas A&M University
garcial01,Alex Garcia,2004,2005,190.5,220,"March 4, 1980",None
kirkal01,Alex Kirk,2015,2015,213.36,245,"November 14, 1991",University of New Mexico
lenal01,Alex Len,2014,2019,215.9,250,"June 16, 1993",University of Maryland
poythal01,Alex Poythress,2017,2019,205.74,235,"September 6, 1993",University of Kentucky
scaleal01,Alex Scales,2006,2006,193.04,185,"July 3, 1978",University of Oregon
stephal01,Alex Stepheson,2016,2016,208.28,270,"August 7, 1987","University of North Carolina, University of Southern California"
stivral01,Alex Stivrins,1986,1993,203.2,220,"November 29, 1962","Creighton University, University of Colorado"
johnsal01,Alexander Johnson,2007,2008,205.74,240,"February 8, 1983",Florida State University
volkoal01,Alexander Volkov,1990,1992,208.28,218,"March 28, 1964",None
shvedal01,Alexey Shved,2013,2015,198.12,190,"December 16, 1988",None
ajincal01,Alexis Ajinca,2009,2017,218.44,248,"May 6, 1988",None
mckinal01,Alfonzo McKinnie,2018,2019,203.2,215,"September 17, 1992",University of Wisconsin-Green Bay
hugheri01,Alfredrick Hughes,1986,1986,195.58,215,"July 19, 1962",Loyola University of Chicago
johnsal02,Alize Johnson,2019,2019,205.74,212,"April 22, 1996",Missouri State
houstal01,Allan Houston,1994,2005,198.12,200,"April 20, 1971",University of Tennessee
rayal01,Allan Ray,2007,2007,187.96,190,"June 17, 1984",Villanova University
crabbal01,Allen Crabbe,2014,2019,198.12,212,"April 9, 1992",University of California
iversal01,Allen Iverson,1997,2010,182.88,165,"June 7, 1975",Georgetown University
trieral01,Allonzo Trier,2019,2019,195.58,200,"January 17, 1996",University of Arizona
geeal01,Alonzo Gee,2010,2017,198.12,225,"May 29, 1987",University of Alabama
mournal01,Alonzo Mourning,1993,2008,208.28,240,"February 8, 1970",Georgetown University
fordal01,Alphonso Ford,1994,1995,185.42000000000002,190,"October 31, 1971",Mississippi Valley State University
fordal02,Alton Ford,2002,2004,205.74,275,"May 29, 1981",University of Houston
listeal01,Alton Lister,1982,1998,213.36,240,"October 1, 1958",Arizona State University
heggsal01,Alvin Heggs,1996,1996,203.2,225,"December 12, 1967",University of Texas at Austin
jonesal01,Alvin Jones,2002,2002,210.82,265,"September 9, 1978",Georgia Institute of Technology
roberal01,Alvin Robertson,1985,1996,190.5,185,"July 22, 1962",University of Arkansas
simsal01,Alvin Sims,1999,1999,193.04,235,"October 18, 1974",University of Louisville
willial02,Alvin Williams,1998,2007,195.58,185,"August 6, 1974",Villanova University
mccasam01,Amal McCaskill,1997,2004,210.82,235,"October 28, 1973",Marquette University
stoudam01,Amar'e Stoudemire,2003,2016,208.28,245,"November 16, 1982",None
jeffeam01,Amile Jefferson,2019,2019,205.74,222,"May 7, 1993",Duke University
johnsam01,Amir Johnson,2006,2019,205.74,240,"May 1, 1987",None
varejan01,Anderson Varejao,2005,2017,208.28,273,"September 28, 1982",None
pattean01,Andrae Patterson,1999,2000,205.74,238,"November 12, 1975",Indiana University
blatcan01,Andray Blatche,2006,2014,210.82,235,"August 22, 1986",None
barrean01,Andre Barrett,2005,2008,177.8,172,"February 21, 1982",Seton Hall University
brownan01,Andre Brown,2007,2009,205.74,245,"May 12, 1981",DePaul University
dawkian01,Andre Dawkins,2015,2015,195.58,215,"September 19, 1991",Duke University
drumman01,Andre Drummond,2013,2019,210.82,279,"August 10, 1993",University of Connecticut
emmetan01,Andre Emmett,2005,2012,195.58,230,"August 27, 1982",Texas Tech University
iguodan01,Andre Iguodala,2005,2019,198.12,215,"January 28, 1984",University of Arizona
ingraan01,Andre Ingram,2018,2019,190.5,190,"November 19, 1985",American University
millean02,Andre Miller,2000,2016,190.5,200,"March 19, 1976",University of Utah
moorean01,Andre Moore,1988,1988,205.74,215,"July 2, 1964",Loyola University of Chicago
owensan01,Andre Owens,2006,2008,193.04,200,"October 31, 1980","Indiana University, University of Houston"
roberan03,Andre Roberson,2014,2018,200.66,210,"December 4, 1991",University of Colorado
spencan01,Andre Spencer,1993,1994,198.12,210,"July 20, 1964",Northern Arizona University
turnean01,Andre Turner,1987,1992,180.34,160,"December 13, 1964",University of Memphis
bargnan01,Andrea Bargnani,2007,2016,213.36,245,"October 26, 1985",None
glynian01,Andreas Glyniadakis,2007,2007,215.9,280,"August 21, 1981",None
kirilan01,Andrei Kirilenko,2002,2015,205.74,220,"February 18, 1981",None
guibean01,Andres Guibert,1994,1995,208.28,225,"October 28, 1968",None
nocioan01,Andres Nocioni,2005,2012,200.66,225,"November 30, 1979",None
bogutan01,Andrew Bogut,2006,2019,213.36,260,"November 28, 1984",University of Utah
bynuman01,Andrew Bynum,2006,2014,213.36,285,"October 27, 1987",None
declean01,Andrew DeClercq,1996,2005,208.28,230,"February 1, 1973",University of Florida
gazean01,Andrew Gaze,1994,1999,200.66,205,"July 24, 1965",Seton Hall University
goudean01,Andrew Goudelock,2012,2016,190.5,200,"December 7, 1988",College of Charleston
harrian01,Andrew Harrison,2017,2019,198.12,213,"October 28, 1994",University of Kentucky
langan01,Andrew Lang,1989,2000,210.82,245,"June 28, 1966",University of Arkansas
nichoan01,Andrew Nicholson,2013,2017,205.74,250,"December 8, 1989",St. Bonaventure University
toneyan01,Andrew Toney,1981,1988,190.5,178,"November 23, 1957",University of Louisiana at Lafayette
whitean01,Andrew White,2018,2018,200.66,210,"June 16, 1993","University of Nebraska, Syracuse University"
wiggian01,Andrew Wiggins,2015,2019,203.2,194,"February 23, 1995",University of Kansas
biedran01,Andris Biedrins,2005,2014,210.82,240,"April 2, 1986",None
pankoan01,Andy Panko,2001,2001,205.74,222,"November 27, 1977",Lebanon Valley College
rautian01,Andy Rautins,2011,2011,193.04,190,"November 2, 1986",Syracuse University
toolsan01,Andy Toolson,1991,1996,198.12,210,"January 19, 1966",Brigham Young University
hardaan01,Anfernee Hardaway,1994,2008,200.66,195,"July 18, 1971",University of Memphis
simonan01,Anfernee Simons,2019,2019,193.04,185,"June 8, 1999",None
delgaan01,Angel Delgado,2019,2019,208.28,245,"November 20, 1994",Seton Hall University
sesayan01,Ansu Sesay,2002,2005,205.74,225,"July 29, 1976",University of Mississippi
jamisan01,Antawn Jamison,1999,2014,203.2,223,"June 12, 1976",University of North Carolina
zizican01,Ante Zizic,2018,2019,210.82,254,"January 4, 1997",None
aventan01,Anthony Avent,1993,2000,205.74,235,"October 18, 1969",Seton Hall University
bennean01,Anthony Bennett,2014,2017,203.2,245,"March 14, 1993","University of Nevada, Las Vegas"
bonnean01,Anthony Bonner,1991,1996,203.2,215,"June 8, 1968",Saint Louis University
bowiean01,Anthony Bowie,1989,1998,198.12,190,"November 9, 1963",University of Oklahoma
brownan02,Anthony Brown,2016,2018,200.66,210,"October 10, 1992",Stanford University
cartean01,Anthony Carter,2000,2012,185.42000000000002,190,"June 16, 1975",University of Hawaii
cookan01,Anthony Cook,1991,1996,205.74,205,"March 19, 1967",University of Arizona
davisan02,Anthony Davis,2013,2019,208.28,253,"March 11, 1993",University of Kentucky
fredean01,Anthony Frederick,1989,1992,200.66,205,"December 7, 1964",Pepperdine University
goldwan01,Anthony Goldwire,1996,2006,185.42000000000002,182,"September 6, 1971",University of Houston
grundan01,Anthony Grundy,2006,2006,190.5,180,"April 15, 1979",North Carolina State University
johnsan02,Anthony Johnson,1998,2010,190.5,190,"October 2, 1974",College of Charleston
jonesan01,Anthony Jones,1987,1990,198.12,195,"September 13, 1962","Georgetown University, University of Nevada, Las Vegas"
masonan01,Anthony Mason,1990,2003,200.66,250,"December 14, 1966",Tennessee State University
millean01,Anthony Miller,1995,2005,205.74,225,"October 22, 1971",Michigan State University
morroan01,Anthony Morrow,2009,2017,195.58,210,"September 27, 1985",Georgia Institute of Technology
parkean01,Anthony Parker,1998,2012,198.12,215,"June 19, 1975",Bradley University
peelean01,Anthony Peeler,1993,2005,193.04,208,"November 25, 1969",University of Missouri
pullaan01,Anthony Pullard,1993,1993,208.28,245,"June 23, 1966",McNeese State University
randoan01,Anthony Randolph,2009,2014,208.28,205,"July 15, 1989",Louisiana State University
roberan02,Anthony Roberson,2006,2009,187.96,180,"February 14, 1983",University of Florida
tayloan01,Anthony Taylor,1989,1989,193.04,175,"November 30, 1965",University of Oregon
tollian01,Anthony Tolliver,2009,2019,203.2,250,"June 1, 1985",Creighton University
tuckean01,Anthony Tucker,1995,1995,203.2,220,"April 4, 1969","Georgetown University, Wake Forest University"
carran01,Antoine Carr,1985,2000,205.74,225,"July 23, 1961",Wichita State University
rigauan01,Antoine Rigaudeau,2003,2003,200.66,210,"December 17, 1971",None
walkean02,Antoine Walker,1997,2008,203.2,224,"August 12, 1976",University of Kentucky
wrighan01,Antoine Wright,2006,2011,200.66,210,"February 6, 1984",Texas A&M University
anderan02,Antonio Anderson,2010,2010,198.12,215,"June 5, 1985",University of Memphis
blakean01,Antonio Blakeney,2018,2019,193.04,192,"October 4, 1996",Louisiana State University
burksan01,Antonio Burks,2005,2006,185.42000000000002,200,"February 25, 1980",University of Memphis
daniean01,Antonio Daniels,1998,2011,193.04,195,"March 19, 1975",Bowling Green State University
davisan01,Antonio Davis,1994,2006,205.74,215,"October 31, 1968",University of Texas at El Paso
harvean01,Antonio Harvey,1994,2003,210.82,225,"July 6, 1970","Southern Illinois University, University of Georgia, Pfeiffer University"
langan02,Antonio Lang,1995,2000,203.2,205,"May 15, 1972",Duke University
mcdyean01,Antonio McDyess,1996,2011,205.74,220,"September 7, 1974",University of Alabama
fotsian01,Antonis Fotsis,2002,2002,208.28,219,"April 1, 1981",None
clevean01,Antonius Cleveland,2018,2018,198.12,195,"February 2, 1994",Southeast Missouri State University
goodwar01,Archie Goodwin,2014,2017,195.58,200,"August 17, 1994",University of Kentucky
onuakar01,Arinze Onuaku,2014,2017,205.74,255,"July 13, 1987",Syracuse University
gilliar01,Armen Gilliam,1988,2000,205.74,230,"May 28, 1964","University of Nevada, Las Vegas"
johnsar02,Armon Johnson,2011,2012,190.5,195,"February 23, 1989","University of Nevada, Reno"
moultar01,Arnett Moultrie,2013,2014,210.82,249,"November 18, 1990","University of Texas at El Paso, Mississippi State University"
baynear01,Aron Baynes,2013,2019,208.28,260,"December 9, 1986",Washington State University
afflaar01,Arron Afflalo,2008,2018,195.58,210,"October 15, 1985","University of California, Los Angeles"
colliar01,Art Collins,1981,1981,193.04,185,"April 14, 1954",St. Thomas University
longar01,Art Long,2001,2003,205.74,250,"October 1, 1972",University of Cincinnati
macijar01,Arvydas Macijauskas,2006,2006,193.04,214,"January 19, 1980",None
sabonar01,Arvydas Sabonis,1996,2003,220.98,279,"December 19, 1964",None
amayaas01,Ashraf Amaya,1996,1997,203.2,230,"November 23, 1971",Southern Illinois University
jonesas01,Askia Jones,1995,1995,195.58,200,"December 3, 1971",Kansas State University
norriau01,Audie Norris,1983,1985,205.74,230,"December 18, 1960",Jackson State University
croshau01,Austin Croshere,1998,2009,205.74,235,"May 1, 1975",Providence College
dayeau01,Austin Daye,2010,2015,210.82,220,"June 5, 1988",Gonzaga University
riverau01,Austin Rivers,2013,2019,193.04,200,"August 1, 1992",Duke University
bradlav01,Avery Bradley,2011,2019,187.96,180,"November 26, 1990",University of Texas at Austin
johnsav01,Avery Johnson,1989,2004,177.8,175,"March 25, 1965","Cameron University, Southern University and A&M College"
storeaw01,Awvee Storey,2005,2008,198.12,222,"April 18, 1977","University of Illinois at Urbana-Champaign, Arizona State University"
toupaax01,Axel Toupane,2016,2017,200.66,197,"July 23, 1992",None
armstbj01,B.J. Armstrong,1990,2000,187.96,175,"September 9, 1967",University of Iowa
johnsbj01,B.J. Johnson,2019,2019,200.66,200,"December 21, 1995","Syracuse University, La Salle University"
tylerbj01,B.J. Tyler,1995,1995,185.42000000000002,185,"April 30, 1971","DePaul University, University of Texas at Austin"
adebaba01,Bam Adebayo,2018,2019,208.28,255,"July 18, 1997",University of Kentucky
davisba01,Baron Davis,2000,2012,190.5,209,"April 13, 1979","University of California, Los Angeles"
steveba01,Barry Stevens,1993,1993,195.58,195,"January 17, 1963",Iowa State University
sumptba01,Barry Sumpter,1989,1989,210.82,215,"November 11, 1965","University of Louisville, Austin Peay State University"
kofoeba01,Bart Kofoed,1988,1993,193.04,210,"March 24, 1964","Hastings College, University of Nebraska at Kearney"
bentibe01,Ben Bentil,2017,2017,205.74,235,"March 29, 1995",Providence College
colembe01,Ben Coleman,1987,1994,205.74,235,"November 14, 1961","University of Minnesota, University of Maryland"
davisbe01,Ben Davis,1997,2000,205.74,240,"December 26, 1972","University of Kansas, University of Arizona"
gillebe01,Ben Gillery,1989,1989,213.36,235,"September 19, 1965",Georgetown University
gordobe01,Ben Gordon,2005,2015,190.5,200,"April 4, 1983",University of Connecticut
handlbe01,Ben Handlogten,2004,2005,208.28,240,"November 16, 1973",Western Michigan University
hansbbe01,Ben Hansbrough,2013,2013,190.5,203,"December 23, 1987","Mississippi State University, University of Notre Dame"
mcdonbe01,Ben McDonald,1986,1989,203.2,210,"July 20, 1962","University of California, Irvine"
mclembe01,Ben McLemore,2014,2019,195.58,201,"February 11, 1993",University of Kansas
moorebe01,Ben Moore,2018,2018,203.2,220,"May 13, 1995",Southern Methodist University
simmobe01,Ben Simmons,2018,2019,208.28,230,"July 20, 1996",Louisiana State University
uzohbe01,Ben Uzoh,2011,2012,190.5,205,"March 19, 1988",University of Tulsa
wallabe01,Ben Wallace,1997,2012,205.74,240,"September 10, 1974",Virginia Union University
udrihbe01,Beno Udrih,2005,2017,190.5,205,"July 5, 1982",None
benjabe01,Benoit Benjamin,1986,2000,213.36,250,"November 22, 1964",Creighton University
jamesbe01,Bernard James,2013,2015,208.28,240,"February 7, 1985",Florida State University
robinbe01,Bernard Robinson,2005,2007,198.12,210,"December 26, 1980",University of Michigan
thompbe01,Bernard Thompson,1985,1989,198.12,210,"August 30, 1962","California State University, Fresno"
curlebi01,Bill Curley,1995,2001,205.74,220,"May 29, 1972",Boston College
edwarbi01,Bill Edwards,1994,1994,203.2,215,"September 22, 1971",Wright State University
garnebi02,Bill Garnett,1983,1986,205.74,225,"April 22, 1960",University of Wyoming
hanzlbi01,Bill Hanzlik,1981,1990,200.66,185,"December 6, 1957",University of Notre Dame
jonesbi01,Bill Jones,1989,1989,200.66,175,"March 18, 1966",University of Iowa
laimbbi01,Bill Laimbeer,1981,1994,210.82,245,"May 19, 1957",University of Notre Dame
martibi01,Bill Martin,1986,1988,200.66,205,"August 16, 1962",Georgetown University
mayfibi01,Bill Mayfield,1981,1981,200.66,205,"October 17, 1957",University of Iowa
wennibi01,Bill Wennington,1986,2000,213.36,245,"April 26, 1963",St. John's University
donovbi01,Billy Donovan,1988,1988,180.34,171,"May 30, 1965",Providence College
garrebi01,Billy Garrett,2019,2019,198.12,213,"October 16, 1994",DePaul University
owensbi01,Billy Owens,1992,2001,203.2,220,"May 1, 1969",Syracuse University
reidbi01,Billy Reid,1981,1981,195.58,190,"September 10, 1957","University of New Mexico, University of San Francisco"
thomabi01,Billy Thomas,2005,2008,193.04,208,"December 23, 1975",University of Kansas
thompbi01,Billy Thompson,1987,1992,200.66,195,"December 1, 1963",University of Louisville
colesbi01,Bimbo Coles,1991,2004,185.42000000000002,180,"April 22, 1968",Virginia Polytechnic Institute and State University
biyombi01,Bismack Biyombo,2012,2019,205.74,255,"August 28, 1992",None
delebi01,Bison Dele,1992,1999,205.74,235,"April 6, 1969","University of Maryland, University of Arizona"
rasmubl01,Blair Rasmussen,1986,1993,213.36,250,"November 13, 1962",University of Oregon
ahearbl01,Blake Ahearn,2008,2012,187.96,190,"May 27, 1984",Missouri State University
griffbl01,Blake Griffin,2011,2019,208.28,250,"March 16, 1989",University of Oklahoma
edwarbl01,Blue Edwards,1990,1999,193.04,200,"October 31, 1965",East Carolina University
kimblbo01,Bo Kimble,1991,1993,193.04,190,"April 9, 1966","University of Southern California, Loyola Marymount University"
outlabo01,Bo Outlaw,1994,2008,203.2,210,"April 13, 1971","South Plains College, University of Houston"
hansebo01,Bob Hansen,1984,1992,198.12,190,"January 18, 1961",University of Iowa
martibo01,Bob Martin,1994,1995,213.36,250,"October 7, 1969",University of Minnesota
mccanbo01,Bob McCann,1990,1998,198.12,244,"April 22, 1964","Upsala College, Morehead State University"
millebo01,Bob Miller,1984,1984,208.28,230,"July 9, 1956",University of Cincinnati
surabo01,Bob Sura,1996,2005,195.58,200,"March 25, 1973",Florida State University
thornbo01,Bob Thornton,1986,1996,208.28,225,"July 10, 1962","University of California, Irvine"
marjabo01,Boban Marjanovic,2016,2019,220.98,290,"August 15, 1988",None
brownbo02,Bobby Brown,2009,2018,187.96,175,"September 24, 1984","California State University, Fullerton"
cattabo01,Bobby Cattage,1982,1986,205.74,250,"August 17, 1958",Auburn University
hurlebo01,Bobby Hurley,1994,1998,182.88,165,"June 28, 1971",Duke University
jacksbo01,Bobby Jackson,1998,2009,185.42000000000002,185,"March 13, 1973",University of Minnesota
jonesbo02,Bobby Jones,2007,2008,200.66,215,"January 9, 1984",University of Washington
phillbo01,Bobby Phills,1992,2000,195.58,210,"December 20, 1969",Southern University and A&M College
portibo01,Bobby Portis,2016,2019,210.82,250,"February 10, 1995",University of Arkansas
simmobo01,Bobby Simmons,2002,2012,200.66,210,"June 2, 1980",DePaul University
bogdabo01,Bogdan Bogdanovic,2018,2019,198.12,205,"August 18, 1992",None
bogdabo02,Bojan Bogdanovic,2015,2019,203.2,216,"April 18, 1989",None
ndongbo01,Boniface N'Dong,2006,2006,213.36,198,"March 9, 1977",None
wellsbo01,Bonzi Wells,1999,2008,195.58,210,"September 28, 1976",Ball State University
colsobo01,Bonzie Colson,2019,2019,198.12,224,"January 12, 1996",University of Notre Dame
diawbo01,Boris Diaw,2004,2017,203.2,250,"April 16, 1982",None
nachbbo01,Bostjan Nachbar,2003,2008,205.74,221,"July 3, 1980",None
wrighbr02,Bracey Wright,2006,2007,190.5,210,"July 1, 1984",Indiana University
bransbr01,Brad Branson,1982,1983,208.28,220,"September 24, 1958",Southern Methodist University
daughbr01,Brad Daugherty,1987,1994,213.36,245,"October 19, 1965",University of North Carolina
lohaubr01,Brad Lohaus,1988,1998,210.82,230,"September 29, 1964",University of Iowa
millebr01,Brad Miller,1999,2012,210.82,244,"April 12, 1976",Purdue University
sellebr01,Brad Sellers,1987,1993,213.36,210,"December 17, 1962","University of Wisconsin, Ohio State University"
wanambr01,Brad Wanamaker,2019,2019,193.04,210,"July 25, 1989",University of Pittsburgh
wrighbr01,Brad Wright,1987,1988,210.82,225,"March 26, 1962","University of California, Los Angeles"
bealbr01,Bradley Beal,2013,2019,195.58,207,"June 28, 1993",University of Florida
wrighbr03,Brandan Wright,2008,2018,208.28,210,"October 5, 1987",University of North Carolina
dawsobr01,Branden Dawson,2016,2016,198.12,225,"February 1, 1993",Michigan State University
knighbr02,Brandin Knight,2005,2005,182.88,180,"December 16, 1981",University of Pittsburgh
armstbr01,Brandon Armstrong,2002,2004,195.58,188,"June 16, 1980",Pepperdine University
bassbr01,Brandon Bass,2006,2017,203.2,250,"April 30, 1985",Louisiana State University
daviebr01,Brandon Davies,2014,2015,208.28,240,"July 25, 1991",Brigham Young University
goodwbr01,Brandon Goodwin,2019,2019,187.96,180,"October 2, 1995","University of Central Florida, Florida Gulf Coast University"
huntebr01,Brandon Hunter,2004,2005,200.66,260,"November 24, 1980",Ohio University
ingrabr01,Brandon Ingram,2017,2019,205.74,190,"September 2, 1997",Duke University
jennibr01,Brandon Jennings,2010,2018,185.42000000000002,170,"September 23, 1989",None
knighbr03,Brandon Knight,2012,2019,190.5,195,"December 2, 1991",University of Kentucky
paulbr01,Brandon Paul,2018,2018,193.04,200,"April 30, 1991",University of Illinois at Urbana-Champaign
roybr01,Brandon Roy,2007,2013,198.12,215,"July 23, 1984",University of Washington
rushbr01,Brandon Rush,2009,2017,198.12,220,"July 7, 1985",University of Kansas
sampsbr01,Brandon Sampson,2019,2019,195.58,184,"May 1, 1997",Louisiana State University
willibr01,Brandon Williams,1998,2003,198.12,215,"February 27, 1975",Davidson College
weidnbr01,Brant Weidner,1984,1984,205.74,230,"October 28, 1960",College of William & Mary
haywobr01,Brendan Haywood,2002,2015,213.36,268,"November 27, 1979",University of North Carolina
barrybr01,Brent Barry,1996,2009,198.12,185,"December 31, 1971",Oregon State University
pricebr01,Brent Price,1993,2002,185.42000000000002,165,"December 9, 1968","University of South Carolina, University of Oklahoma"
scottbr01,Brent Scott,1997,1997,208.28,250,"June 15, 1971",Rice University
szabobr01,Brett Szabo,1997,1997,210.82,230,"February 1, 1968",Augustana College (SD)
vromabr01,Brett Vroman,1981,1981,213.36,220,"December 25, 1955","University of California, Los Angeles, University of Nevada, Las Vegas"
knighbr01,Brevin Knight,1998,2009,177.8,173,"November 8, 1975",Stanford University
cardibr01,Brian Cardinal,2001,2012,203.2,245,"May 2, 1977",Purdue University
cookbr01,Brian Cook,2004,2012,205.74,234,"December 4, 1980",University of Illinois at Urbana-Champaign
davisbr02,Brian Davis,1994,1994,200.66,200,"June 21, 1970",Duke University
evansbr01,Brian Evans,1997,1999,203.2,220,"September 13, 1973",Indiana University
grantbr01,Brian Grant,1995,2006,205.74,254,"March 5, 1972",Xavier University
howarbr01,Brian Howard,1992,1993,198.12,204,"October 19, 1967",North Carolina State University
martibr01,Brian Martin,1986,1986,205.74,212,"August 18, 1962",University of Kansas
olivebr01,Brian Oliver,1991,1998,193.04,210,"June 1, 1968",Georgia Institute of Technology
quinnbr01,Brian Quinnett,1990,1992,203.2,235,"May 30, 1966",Washington State University
roberbr01,Brian Roberts,2013,2017,185.42000000000002,173,"December 3, 1985",University of Dayton
rowsobr01,Brian Rowsom,1988,1990,205.74,220,"October 23, 1965",University of North Carolina at Wilmington
scalabr01,Brian Scalabrine,2002,2012,205.74,241,"March 18, 1978",University of Southern California
shawbr01,Brian Shaw,1989,2003,198.12,190,"March 22, 1966","Saint Mary's College of California, University of California, Santa Barbara"
skinnbr01,Brian Skinner,1999,2012,205.74,255,"May 19, 1976",Baylor University
weberbr01,Briante Weber,2016,2018,187.96,165,"December 29, 1992",Virginia Commonwealth University
johnsbr02,Brice Johnson,2017,2018,208.28,230,"June 27, 1994",University of North Carolina
johnsbr01,Britton Johnsen,2004,2005,208.28,210,"July 8, 1979",University of Utah
lopezbr01,Brook Lopez,2009,2019,213.36,270,"April 1, 1988",Stanford University
steppbr01,Brook Steppe,1983,1989,195.58,195,"November 7, 1959",Georgia Institute of Technology
thompbr01,Brooks Thompson,1995,1998,193.04,193,"July 19, 1970","Texas A&M University, Oklahoma State University"
bowenbr01,Bruce Bowen,1997,2009,200.66,185,"June 14, 1971","California State University, Fullerton"
brownbr01,Bruce Brown,2019,2019,195.58,202,"August 15, 1996",University of Miami
douglbr01,Bruce Douglas,1987,1987,190.5,195,"April 9, 1964",University of Illinois at Urbana-Champaign
flowebr01,Bruce Flowers,1983,1983,203.2,225,"June 13, 1957",University of Notre Dame
kuczebr01,Bruce Kuczenski,1984,1984,208.28,230,"February 3, 1961",University of Connecticut
cabocbr01,Bruno Caboclo,2015,2019,205.74,218,"September 21, 1995",None
