Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,Year
20,CLE,Zydrunas Ilgauskas,,13,843,22965,10976,6191,955,.476,.310,.780,27.2,13.0,7.3,1.1,66.3,.139,0.3,13.0,1996
21,NYK,Dontae' Jones,Mississippi State University,1,15,91,44,9,5,.333,.261,,6.1,2.9,0.6,0.3,-0.3,-.175,-11.8,-0.2,1996
22,VAN,Roy Rogers,University of Alabama,3,137,2309,652,483,57,.483,.500,.532,16.9,4.8,3.5,0.4,1.7,.035,-3.3,-0.7,1996
23,DEN,Efthimi Rentzias,,1,35,144,52,26,7,.339,.500,.889,4.1,1.5,0.7,0.2,0.2,.058,-4.7,-0.1,1996
24,LAL,Derek Fisher,University of Arkansas at Little Rock,18,1287,32719,10713,2658,3804,.399,.374,.817,25.4,8.3,2.1,3.0,62.3,.091,-0.9,9.3,1996
25,UTA,Martin Muursepp,,2,83,951,389,181,50,.425,.323,.693,11.5,4.7,2.2,0.6,2.0,.100,-1.2,0.2,1996
26,DET,Jerome Williams,Georgetown University,9,587,12755,3865,3743,474,.502,.038,.645,21.7,6.6,6.4,0.8,37.9,.143,0.8,9.0,1996
27,ORL,Brian Evans,Indiana University,3,102,1097,375,164,77,.381,.343,.820,10.8,3.7,1.6,0.8,1.7,.076,-2.2,-0.1,1996
28,ATL,Priest Lauderdale,Central State University,2,74,525,255,143,33,.472,.000,.554,7.1,3.4,1.9,0.4,-0.8,-.074,-8.0,-0.8,1996
29,CHI,Travis Knight,University of Connecticut,7,371,4566,1276,1160,224,.438,.259,.696,12.3,3.4,3.1,0.6,7.9,.083,-1.3,0.8,1996
30,HOU,Othella Harrington,Georgetown University,12,709,13924,5212,3130,443,.505,.000,.738,19.6,7.4,4.4,0.6,23.1,.080,-3.1,-4.0,1996
31,PHI,Mark Hendrickson,Washington State University,4,114,1508,381,316,63,.416,.167,.803,13.2,3.3,2.8,0.6,2.1,.067,-4.1,-0.8,1996
32,PHI,Ryan Minor,University of Oklahoma,,,,,,,,,,,,,,,,,,1996
33,MIL,Moochie Norris,University of West Florida,9,445,7640,2272,868,1233,.401,.286,.740,17.2,5.1,2.0,2.8,10.0,.063,-2.1,-0.1,1996
34,DAL,Shawn Harvey,West Virginia State University,,,,,,,,,,,,,,,,,,1996
35,SEA,Joseph Blair,University of Arizona,,,,,,,,,,,,,,,,,,1996
36,LAC,Doron Sheffer,University of Connecticut,,,,,,,,,,,,,,,,,,1996
37,DEN,Jeff McInnis,University of North Carolina,11,576,15927,5396,1170,2514,.431,.328,.796,27.7,9.4,2.0,4.4,23.1,.070,-2.6,-2.5,1996
38,BOS,Steve Hamer,University of Tennessee,1,35,268,76,60,7,.526,.000,.552,7.7,2.2,1.7,0.2,0.2,.031,-7.5,-0.4,1996
39,PHO,Russ Millard,University of Iowa,,,,,,,,,,,,,,,,,,1996
40,GSW,Marcus Mann,Mississippi Valley State University,,,,,,,,,,,,,,,,,,1996
41,SAC,Jason Sasser,Texas Tech University,2,14,108,30,15,4,.412,.333,.500,7.7,2.1,1.1,0.3,0.0,-.014,-7.0,-0.1,1996
42,HOU,Randy Livingston,Louisiana State University,11,203,2684,773,282,415,.406,.351,.771,13.2,3.8,1.4,2.0,2.3,.041,-3.7,-1.2,1996
43,PHO,Ben Davis,University of Arizona,4,40,154,54,53,5,.356,,.462,3.9,1.4,1.3,0.1,0.1,.040,-6.0,-0.2,1996
44,CHH,Malik Rose,Drexel University,13,813,13404,5003,3371,684,.437,.177,.743,16.5,6.2,4.1,0.8,26.5,.095,-1.4,2.0,1996
45,SEA,Joe Vogel,Colorado State University,,,,,,,,,,,,,,,,,,1996
46,POR,Marcus Brown,Murray State University,2,27,229,92,22,23,.381,.333,.714,8.5,3.4,0.8,0.9,0.3,.066,-3.2,-0.1,1996
47,SEA,Ron Riley,Arizona State University,,,,,,,,,,,,,,,,,,1996
48,PHI,Jamie Feick,Michigan State University,5,201,4316,911,1437,139,.424,.400,.629,21.5,4.5,7.1,0.7,8.2,.091,-1.7,0.4,1996
49,ORL,Amal McCaskill,Marquette University,4,114,968,204,213,36,.377,.000,.609,8.5,1.8,1.9,0.3,0.5,.024,-4.4,-0.6,1996
50,HOU,Terrell Bell,University of Georgia,,,,,,,,,,,,,,,,,,1996
51,VAN,Chris Robinson,Western Kentucky University,2,76,1095,350,117,104,.376,.374,.571,14.4,4.6,1.5,1.4,-0.1,-.003,-4.1,-0.6,1996
52,IND,Mark Pope,University of Kentucky,6,153,1634,285,261,63,.401,.179,.573,10.7,1.9,1.7,0.4,1.3,.038,-3.2,-0.5,1996
53,MIL,Jeff Nordgaard,University of Wisconsin-Green Bay,1,13,48,18,14,3,.278,,.889,3.7,1.4,1.1,0.2,0.0,.043,-6.8,-0.1,1996
54,UTA,Shandon Anderson,University of Georgia,10,719,15946,5327,2252,1007,.457,.316,.739,22.2,7.4,3.1,1.4,23.6,.071,-0.8,4.9,1996
55,WSB,Ronnie Henderson,Louisiana State University,,,,,,,,,,,,,,,,,,1996
56,CLE,Reggie Geary,University of Arizona,2,101,931,209,82,110,.344,.328,.493,9.2,2.1,0.8,1.1,0.6,.032,-3.2,-0.3,1996
57,SEA,Drew Barry,Georgia Institute of Technology,3,60,598,134,67,111,.417,.381,.774,10.0,2.2,1.1,1.9,0.6,.051,-4.5,-0.4,1996
58,DAL,Darnell Robinson,University of Arkansas,,,,,,,,,,,,,,,,,,1996
1,SAS,Tim Duncan,Wake Forest University,19,1392,47368,26496,15091,4225,.506,.179,.696,34.0,19.0,10.8,3.0,206.4,.209,5.5,89.3,1997
2,PHI,Keith Van Horn,University of Utah,9,575,18150,9206,3909,900,.443,.361,.835,31.6,16.0,6.8,1.6,41.7,.110,-0.2,8.4,1997
3,BOS,Chauncey Billups,University of Colorado,17,1043,33008,15802,2992,5636,.415,.387,.894,31.6,15.2,2.9,5.4,120.8,.176,2.5,37.6,1997
4,VAN,Antonio Daniels,Bowling Green State University,13,872,19671,6623,1613,2934,.444,.311,.793,22.6,7.6,1.8,3.4,47.0,.115,-1.2,4.1,1997
5,DEN,Tony Battie,Texas Tech University,14,837,17649,5082,4287,522,.488,.162,.690,21.1,6.1,5.1,0.6,36.4,.099,-1.6,1.9,1997
6,BOS,Ron Mercer,University of Kentucky,8,432,13418,5892,1342,921,.429,.250,.808,31.1,13.6,3.1,2.1,9.4,.034,-3.3,-4.3,1997
7,NJN,Tim Thomas,Villanova University,13,824,21336,9454,3379,1272,.437,.369,.758,25.9,11.5,4.1,1.5,35.2,.079,-1.0,5.4,1997
8,GSW,Adonal Foyle,Colgate University,12,733,13060,2989,3461,344,.477,.000,.499,17.8,4.1,4.7,0.5,18.7,.069,-0.8,3.9,1997
9,TOR,Tracy McGrady,,15,938,30658,18381,5276,4161,.435,.338,.746,32.7,19.6,5.6,4.4,97.3,.152,4.6,50.6,1997
10,MIL,Danny Fortson,University of Cincinnati,10,440,8832,3615,3184,301,.472,.167,.785,20.1,8.2,7.2,0.7,22.3,.121,-3.0,-2.1,1997
11,SAC,Tariq Abdul-Wahad,San Jose State University,6,236,4807,1830,776,266,.417,.237,.703,20.4,7.8,3.3,1.1,3.5,.035,-3.2,-1.5,1997
12,IND,Austin Croshere,Providence College,12,659,11480,4475,2649,627,.407,.340,.861,17.4,6.8,4.0,1.0,27.6,.115,-0.5,4.3,1997
13,CLE,Derek Anderson,University of Kentucky,11,615,17975,7357,1988,2083,.408,.341,.853,29.2,12.0,3.2,3.4,43.9,.117,0.9,13.3,1997
14,LAC,Maurice Taylor,University of Michigan,9,534,13324,5889,2452,623,.466,.152,.711,25.0,11.0,4.6,1.2,9.9,.036,-3.8,-5.9,1997
15,DAL,Kelvin Cato,Iowa State University,10,541,10617,2960,2874,244,.507,.077,.644,19.6,5.5,5.3,0.5,28.6,.129,-0.3,4.6,1997
16,CLE,Brevin Knight,Stanford University,12,729,18176,5342,1785,4481,.412,.134,.789,24.9,7.3,2.4,6.1,32.6,.086,-1.1,4.3,1997
17,ORL,Johnny Taylor,University of Tennessee at Chattanooga,3,54,866,256,120,26,.402,.394,.718,16.0,4.7,2.2,0.5,0.1,.007,-3.5,-0.3,1997
18,POR,Chris Anstey,,3,155,2157,813,534,127,.413,.138,.755,13.9,5.2,3.4,0.8,2.8,.062,-2.8,-0.4,1997
19,DET,Scot Pollard,University of Kansas,11,506,8372,2222,2351,220,.494,.000,.709,16.5,4.4,4.6,0.4,26.6,.153,0.6,5.5,1997
20,MIN,Paul Grant,University of Wisconsin,2,16,111,29,18,3,.448,,.375,6.9,1.8,1.1,0.2,-0.1,-.043,-7.8,-0.2,1997
21,NJN,Anthony Parker,Bradley University,9,494,13752,4478,1574,1129,.444,.404,.794,27.8,9.1,3.2,2.3,24.5,.085,0.6,9.1,1997
22,ATL,Ed Gray,University of California,2,60,809,373,73,46,.339,.341,.814,13.5,6.2,1.2,0.8,0.1,.009,-6.2,-0.9,1997
23,SEA,Bobby Jackson,University of Minnesota,12,755,16790,7344,2347,1945,.417,.354,.793,22.2,9.7,3.1,2.6,31.4,.090,-0.1,7.8,1997
24,HOU,Rodrick Rhodes,University of Southern California,3,72,1234,380,88,121,.347,.200,.620,17.1,5.3,1.2,1.7,-1.6,-.064,-6.6,-1.4,1997
25,NYK,John Thomas,University of Minnesota,5,208,2253,560,432,60,.502,.000,.591,10.8,2.7,2.1,0.3,3.2,.067,-3.3,-0.7,1997
26,MIA,Charles Smith,University of New Mexico,5,142,1973,729,200,124,.409,.288,.606,13.9,5.1,1.4,0.9,1.5,.036,-1.7,0.2,1997
27,UTA,Jacque Vaughn,University of Kansas,12,776,12658,3463,1028,1919,.429,.352,.779,16.3,4.5,1.3,2.5,15.4,.058,-4.2,-7.1,1997
28,CHI,Keith Booth,University of Maryland,2,45,449,130,97,39,.325,.091,.563,10.0,2.9,2.2,0.9,-0.8,-.080,-6.2,-0.5,1997
29,HOU,Serge Zwikker,University of North Carolina,,,,,,,,,,,,,,,,,,1997
30,MIA,Mark Sanford,University of Washington,,,,,,,,,,,,,,,,,,1997
31,DET,Charles O'Bannon,"University of California, Los Angeles",2,48,399,120,67,29,.400,.000,.870,8.3,2.5,1.4,0.6,0.6,.070,-2.8,-0.1,1997
32,DEN,James Cotton,"California State University, Long Beach",2,19,92,49,16,0,.359,.000,.778,4.8,2.6,0.8,0.0,0.0,.008,-14.7,-0.3,1997
33,PHI,Marko Milic,,2,44,216,108,30,14,.560,.429,.647,4.9,2.5,0.7,0.3,0.2,.047,-2.5,0.0,1997
34,DAL,Bubba Wells,Austin Peay State University,1,39,395,128,68,34,.414,.167,.721,10.1,3.3,1.7,0.9,0.1,.013,-5.0,-0.3,1997
35,PHI,Kebu Stewart,"California State University, Bakersfield",1,15,110,40,31,2,.462,,.640,7.3,2.7,2.1,0.1,0.2,.098,-5.5,-0.1,1997
36,PHI,James Collins,Florida State University,1,23,103,59,14,3,.382,.450,.571,4.5,2.6,0.6,0.1,0.0,.008,-5.2,-0.1,1997
37,GSW,Marc Jackson,Temple University,7,387,7572,3238,1655,311,.446,.226,.814,19.6,8.4,4.3,0.8,13.0,.082,-3.6,-3.1,1997
38,MIL,Jerald Honeycutt,Tulane University,2,54,632,275,105,36,.391,.362,.632,11.7,5.1,1.9,0.7,0.3,.020,-3.8,-0.3,1997
39,SAC,Anthony Johnson,College of Charleston,13,793,15552,4432,1358,2274,.414,.356,.745,19.6,5.6,1.7,2.9,23.2,.072,-2.1,-0.4,1997
40,SEA,Eddie Elisma,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,1997
41,DEN,Jason Lawson,Villanova University,1,17,80,26,27,5,.600,,.800,4.7,1.5,1.6,0.3,0.5,.280,4.8,0.1,1997
42,PHO,Stephen Jackson,Butler County Community College,14,858,27398,12976,3328,2634,.414,.333,.798,31.9,15.1,3.9,3.1,36.1,.063,0.0,13.6,1997
43,MIN,Gordon Malone,West Virginia University,,,,,,,,,,,,,,,,,,1997
44,CLE,Cedric Henderson,University of Memphis,5,260,6182,1885,755,419,.436,.140,.715,23.8,7.3,2.9,1.6,3.3,.026,-2.4,-0.7,1997
45,WAS,God Shammgod,Providence College,1,20,146,61,7,36,.328,.000,.767,7.3,3.1,0.4,1.8,-0.1,-.049,-9.6,-0.3,1997
46,ORL,Eric Washington,University of Alabama,2,104,2300,716,216,108,.402,.346,.757,22.1,6.9,2.1,1.0,0.1,.002,-3.7,-1.0,1997
47,POR,Alvin Williams,Villanova University,9,460,12610,4161,1140,1877,.421,.313,.760,27.4,9.0,2.5,4.1,21.7,.082,-0.9,3.6,1997
48,WAS,Predrag Drobnjak,,4,278,5542,2187,973,225,.425,.340,.799,19.9,7.9,3.5,0.8,5.6,.048,-4.2,-3.1,1997
49,ATL,Alain Digbeu,,,,,,,,,,,,,,,,,,,1997
50,ATL,Chris Crawford,Marquette University,7,252,3985,1654,547,154,.437,.347,.824,15.8,6.6,2.2,0.6,6.5,.078,-2.9,-0.9,1997
51,LAL,DeJuan Wheat,University of Louisville,2,80,740,265,56,127,.383,.390,.700,9.3,3.3,0.7,1.6,0.5,.034,-4.4,-0.4,1997
52,VAN,C.J. Bruton,Indian Hills Community College,,,,,,,,,,,,,,,,,,1997
53,LAL,Paul Rogers,Gonzaga University,,,,,,,,,,,,,,,,,,1997
54,SEA,Mark Blount,University of Pittsburgh,9,605,13981,4941,2784,513,.504,.359,.723,23.1,8.2,4.6,0.8,18.8,.065,-2.4,-1.4,1997
55,BOS,Ben Pepper,,,,,,,,,,,,,,,,,,,1997
56,UTA,Nate Erdmann,University of Oklahoma,,,,,,,,,,,,,,,,,,1997
57,CHI,Roberto Duenas,,,,,,,,,,,,,,,,,,,1997
1,LAC,Michael Olowokandi,University of the Pacific,9,500,13129,4135,3414,327,.435,,.597,26.3,8.3,6.8,0.7,2.5,.009,-4.5,-8.3,1998
2,VAN,Mike Bibby,University of Arizona,14,1001,33962,14698,3103,5517,.436,.379,.802,33.9,14.7,3.1,5.5,73.2,.104,0.5,21.2,1998
3,DEN,Raef LaFrentz,University of Kansas,10,563,14545,5690,3423,606,.466,.363,.711,25.8,10.1,6.1,1.1,39.4,.130,1.5,12.8,1998
4,TOR,Antawn Jamison,University of North Carolina,16,1083,37638,20042,8157,1761,.451,.346,.724,34.8,18.5,7.5,1.6,87.8,.112,-0.2,17.4,1998
5,GSW,Vince Carter,University of North Carolina,21,1481,45491,25430,6482,4666,.437,.374,.798,30.7,17.2,4.4,3.2,125.5,.132,2.8,55.0,1998
6,DAL,Robert Traylor,University of Michigan,7,438,6243,2085,1640,312,.474,.167,.577,14.3,4.8,3.7,0.7,13.3,.102,0.3,3.6,1998
7,SAC,Jason Williams,University of Florida,12,788,23188,8266,1810,4611,.398,.327,.813,29.4,10.5,2.3,5.9,38.5,.080,-0.7,7.8,1998
8,PHI,Larry Hughes,Saint Louis University,13,727,22368,10242,3039,2290,.406,.309,.757,30.8,14.1,4.2,3.1,32.3,.069,-0.3,9.7,1998
9,MIL,Dirk Nowitzki,,21,1522,51368,31560,11489,3651,.471,.380,.879,33.8,20.7,7.5,2.4,206.3,.193,3.1,66.3,1998
10,BOS,Paul Pierce,University of Kansas,19,1343,45880,26397,7527,4708,.445,.368,.806,34.2,19.7,5.6,3.5,150.0,.157,3.3,61.5,1998
11,DET,Bonzi Wells,Ball State University,10,591,15133,7147,2737,1249,.460,.327,.697,25.6,12.1,4.6,2.1,29.4,.093,0.4,9.3,1998
12,ORL,Michael Doleac,University of Utah,10,587,8789,2882,1955,343,.439,.125,.791,15.0,4.9,3.3,0.6,12.7,.070,-3.7,-3.8,1998
13,ORL,Keon Clark,"University of Nevada, Las Vegas",6,353,7971,2882,2096,322,.500,.053,.645,22.6,8.2,5.9,0.9,18.2,.110,-0.1,3.8,1998
14,HOU,Michael Dickerson,University of Arizona,5,212,7490,3257,609,553,.432,.402,.784,35.3,15.4,2.9,2.6,9.6,.061,-1.2,1.6,1998
15,ORL,Matt Harpring,Georgia Institute of Technology,11,665,17584,7645,3366,907,.481,.333,.753,26.4,11.5,5.1,1.4,41.9,.114,-0.1,8.3,1998
16,HOU,Bryce Drew,Valparaiso University,6,243,3970,1081,295,524,.382,.371,.830,16.3,4.4,1.2,2.2,2.4,.030,-4.6,-2.6,1998
17,MIN,Rasho Nesterovic,,12,811,17983,5519,4143,836,.502,.077,.585,22.2,6.8,5.1,1.0,39.9,.107,0.4,11.0,1998
18,HOU,Mirsad Turkcan,,1,17,90,33,33,5,.368,.000,.625,5.3,1.9,1.9,0.3,0.0,-.019,-6.0,-0.1,1998
19,MIL,Pat Garrity,University of Notre Dame,10,552,11062,4017,1457,443,.417,.398,.806,20.0,7.3,2.6,0.8,18.7,.081,-1.8,0.7,1998
20,ATL,Roshown McLeod,Duke University,3,113,2130,817,308,124,.409,.111,.819,18.8,7.2,2.7,1.1,0.2,.004,-5.0,-1.6,1998
21,CHH,Ricky Davis,University of Iowa,12,736,21927,9912,2550,2426,.446,.361,.781,29.8,13.5,3.5,3.3,28.0,.061,-0.8,6.5,1998
22,LAC,Brian Skinner,Baylor University,14,608,10910,2876,2841,288,.494,.333,.566,17.9,4.7,4.7,0.5,15.8,.070,-2.4,-1.0,1998
23,DEN,Tyronn Lue,University of Nebraska,11,554,12564,4710,943,1727,.437,.391,.829,22.7,8.5,1.7,3.1,19.7,.075,-2.8,-2.5,1998
24,SAS,Felipe Lopez,St. John's University,4,249,4145,1448,604,252,.432,.327,.659,16.6,5.8,2.4,1.0,3.1,.036,-2.7,-0.7,1998
25,IND,Al Harrington,,16,981,28009,13237,5482,1649,.444,.352,.727,28.6,13.5,5.6,1.7,42.5,.073,-1.2,5.5,1998
26,LAL,Sam Jacobson,University of Minnesota,3,68,752,283,80,36,.511,.360,.739,11.1,4.2,1.2,0.5,1.1,.071,-3.5,-0.3,1998
27,SEA,Vladimir Stepania,,6,270,3726,1118,1180,94,.425,.133,.536,13.8,4.1,4.4,0.3,5.2,.067,-3.9,-1.8,1998
28,CHI,Corey Benjamin,Oregon State University,4,153,2191,835,259,143,.390,.289,.652,14.3,5.5,1.7,0.9,-0.9,-.019,-5.6,-2.0,1998
29,UTA,Nazr Mohammed,University of Kentucky,18,1005,15891,5827,4708,375,.486,.000,.640,15.8,5.8,4.7,0.4,34.3,.104,-2.5,-2.0,1998
30,DAL,Ansu Sesay,University of Mississippi,4,127,1301,401,223,62,.434,.276,.640,10.2,3.2,1.8,0.5,1.4,.051,-3.3,-0.4,1998
31,LAL,Ruben Patterson,University of Cincinnati,10,649,15955,6953,2697,1150,.517,.179,.641,24.6,10.7,4.2,1.8,35.1,.106,0.9,11.8,1998
32,SEA,Rashard Lewis,,16,1049,33541,15579,5433,1765,.452,.386,.805,32.0,14.9,5.2,1.7,90.9,.130,2.0,34.1,1998
33,SEA,Jelani McCoy,"University of California, Los Angeles",8,260,3824,1200,921,135,.539,,.490,14.7,4.6,3.5,0.5,5.1,.064,-3.1,-1.1,1998
34,CHI,Shammond Williams,University of North Carolina,7,325,5351,1892,518,765,.401,.366,.798,16.5,5.8,1.6,2.4,8.8,.079,-2.3,-0.4,1998
35,DAL,Bruno Sundov,,7,102,524,173,107,18,.356,.208,.526,5.1,1.7,1.0,0.2,-0.7,-.062,-9.7,-1.0,1998
36,SAC,Jerome James,Florida Agricultural and Mechanical University,9,358,4771,1540,1099,118,.485,.000,.617,13.3,4.3,3.1,0.3,2.9,.029,-3.1,-1.3,1998
37,PHI,Casey Shaw,University of Toledo,1,9,14,2,3,0,.125,,,1.6,0.2,0.3,0.0,-0.1,-.498,-27.8,-0.1,1998
38,NYK,DeMarco Johnson,University of North Carolina at Charlotte,1,5,37,6,7,0,.333,,,7.4,1.2,1.4,0.0,-0.1,-.091,-11.9,-0.1,1998
39,MIL,Rafer Alston,"California State University, Fresno",11,671,19392,6799,1891,3202,.383,.354,.729,28.9,10.1,2.8,4.8,32.9,.081,0.2,10.9,1998
40,DET,Korleone Young,,1,3,15,13,4,1,.500,.250,1.000,5.0,4.3,1.3,0.3,0.1,.280,6.0,0.0,1998
41,HOU,Cuttino Mobley,University of Rhode Island,11,747,27618,11964,2902,2015,.433,.378,.835,37.0,16.0,3.9,2.7,52.2,.091,0.2,15.3,1998
42,ORL,Miles Simon,University of Arizona,1,5,19,2,2,0,.200,.000,,3.8,0.4,0.4,0.0,-0.1,-.289,-15.5,-0.1,1998
43,WAS,Jahidi White,Georgetown University,7,334,5913,1954,1944,63,.510,.000,.534,17.7,5.9,5.8,0.2,10.4,.085,-3.8,-2.7,1998
44,NYK,Sean Marks,University of California,11,230,2275,638,501,50,.448,.200,.665,9.9,2.8,2.2,0.2,2.6,.055,-4.9,-1.7,1998
45,LAL,Toby Bailey,"University of California, Los Angeles",2,73,698,241,126,43,.407,.200,.692,9.6,3.3,1.7,0.6,1.0,.072,-4.0,-0.3,1998
46,MIN,Andrae Patterson,Indiana University,2,40,304,120,67,16,.455,.000,.778,7.6,3.0,1.7,0.4,0.7,.114,-0.5,0.1,1998
47,TOR,Tyson Wheeler,University of Rhode Island,1,1,3,4,0,2,1.000,1.000,.500,3.0,4.0,0.0,2.0,0.1,1.367,19.6,0.0,1998
48,CLE,Ryan Stack,University of South Carolina,2,43,397,99,79,10,.352,.000,.787,9.2,2.3,1.8,0.2,0.2,.028,-4.6,-0.3,1998
49,ATL,Cory Carr,Texas Tech University,1,42,624,171,49,66,.329,.167,.750,14.9,4.1,1.2,1.6,-1.2,-.089,-8.8,-1.1,1998
50,CHH,Andrew Betts,"California State University, Long Beach",,,,,,,,,,,,,,,,,,1998
51,MIA,Corey Brewer,University of Oklahoma,,,,,,,,,,,,,,,,,,1998
52,SAS,Derrick Dial,Eastern Michigan University,4,82,687,253,133,63,.372,.190,.672,8.4,3.1,1.6,0.8,0.6,.045,-3.5,-0.3,1998
53,DAL,Greg Buckner,Clemson University,10,570,10895,2878,1593,719,.450,.334,.757,19.1,5.0,2.8,1.3,20.9,.092,0.1,5.8,1998
54,DEN,Tremaine Fowlkes,"California State University, Fresno",4,103,1233,301,228,54,.409,.200,.791,12.0,2.9,2.2,0.5,2.1,.080,-2.1,0.0,1998
55,DEN,Ryan Bowen,University of Iowa,10,507,6502,1319,1060,250,.456,.206,.693,12.8,2.6,2.1,0.5,12.4,.092,0.0,3.3,1998
56,VAN,J.R. Henderson,"University of California, Los Angeles",1,30,331,97,47,22,.365,.400,.556,11.0,3.2,1.6,0.7,-0.2,-.025,-6.1,-0.3,1998
57,UTA,Torraye Braggs,Xavier University,2,22,178,46,51,7,.475,,.667,8.1,2.1,2.3,0.3,0.3,.071,-4.1,-0.1,1998
58,CHI,Maceo Baston,University of Michigan,4,105,831,286,175,26,.616,.375,.740,7.9,2.7,1.7,0.2,2.3,.134,-1.3,0.1,1998
1,CHI,Elton Brand,Duke University,17,1058,34910,16827,9040,2184,.500,.095,.736,33.0,15.9,8.5,2.1,109.6,.151,3.1,45.2,1999
2,VAN,Steve Francis,University of Maryland,9,576,21632,10446,3215,3473,.429,.341,.797,37.6,18.1,5.6,6.0,54.1,.120,3.2,28.2,1999
3,CHH,Baron Davis,"University of California, Los Angeles",13,835,28592,13447,3183,6025,.409,.320,.711,34.2,16.1,3.8,7.2,63.1,.106,2.7,34.1,1999
4,LAC,Lamar Odom,University of Rhode Island,14,961,32131,12781,8059,3554,.463,.312,.693,33.4,13.3,8.4,3.7,77.0,.115,2.5,36.3,1999
5,TOR,Jonathan Bender,,8,262,3847,1453,582,170,.417,.340,.763,14.7,5.5,2.2,0.6,3.8,.047,-3.5,-1.5,1999
6,MIN,Wally Szczerbiak,Miami University,10,651,20052,9195,2602,1532,.485,.406,.860,30.8,14.1,4.0,2.4,53.3,.127,0.5,12.8,1999
7,WAS,Richard Hamilton,University of Connecticut,14,921,29559,15708,2852,3125,.449,.346,.852,32.1,17.1,3.1,3.4,62.8,.102,-0.6,10.5,1999
8,CLE,Andre Miller,University of Utah,17,1304,40268,16278,4795,8524,.461,.217,.807,30.9,12.5,3.7,6.5,100.8,.120,1.1,31.7,1999
9,PHO,Shawn Marion,"University of Nevada, Las Vegas",16,1163,40097,17700,10101,2198,.484,.331,.810,34.5,15.2,8.7,1.9,124.9,.150,3.2,52.1,1999
10,ATL,Jason Terry,University of Arizona,19,1410,42034,18881,3274,5415,.444,.380,.845,29.8,13.4,2.3,3.8,102.0,.116,1.2,34.1,1999
11,CLE,Trajan Langdon,Duke University,3,119,1738,647,159,152,.416,.396,.910,14.6,5.4,1.3,1.3,2.9,.079,-1.9,0.1,1999
12,TOR,Aleksandar Radojevic,Barton County Community College,2,15,152,26,36,7,.308,,.625,10.1,1.7,2.4,0.5,-0.4,-.130,-9.4,-0.3,1999
13,SEA,Corey Maggette,Duke University,14,827,23358,13198,4022,1696,.453,.324,.822,28.2,16.0,4.9,2.1,62.2,.128,-0.4,9.5,1999
14,MIN,William Avery,Duke University,3,142,1205,379,93,199,.330,.255,.714,8.5,2.7,0.7,1.4,-0.9,-.034,-7.2,-1.6,1999
15,NYK,Frederic Weis,,,,,,,,,,,,,,,,,,,1999
16,CHI,Metta World Peace,St. John's University,17,991,31440,13058,4448,2631,.414,.339,.715,31.7,13.2,4.5,2.7,61.1,.093,1.8,29.9,1999
17,ATL,Cal Bowdler,Old Dominion University,3,142,1383,424,272,29,.404,.182,.768,9.7,3.0,1.9,0.2,1.8,.061,-4.7,-0.9,1999
18,DEN,James Posey,Xavier University,12,864,23260,7419,4061,1413,.410,.349,.820,26.9,8.6,4.7,1.6,51.6,.107,1.2,18.8,1999
19,UTA,Quincy Lewis,University of Minnesota,4,159,1853,567,210,96,.397,.333,.710,11.7,3.6,1.3,0.6,0.8,.020,-4.0,-0.9,1999
20,ATL,Dion Glover,Georgia Institute of Technology,6,294,6132,2407,897,455,.411,.317,.756,20.9,8.2,3.1,1.5,5.8,.045,-2.4,-0.7,1999
21,GSW,Jeff Foster,Texas State University,13,764,15750,3747,5248,703,.497,.130,.615,20.6,4.9,6.9,0.9,47.5,.145,1.3,13.0,1999
22,HOU,Kenny Thomas,University of New Mexico,11,632,17306,5876,4341,975,.465,.244,.699,27.4,9.3,6.9,1.5,31.2,.086,-0.5,6.6,1999
23,LAL,Devean George,Augsburg College,11,630,11682,3536,1975,543,.392,.343,.721,18.5,5.6,3.1,0.9,18.2,.075,-1.2,2.5,1999
24,UTA,Andrei Kirilenko,,13,797,23916,9431,4352,2169,.474,.310,.754,30.0,11.8,5.5,2.7,75.4,.151,5.0,42.4,1999
25,MIA,Tim James,University of Miami,3,43,261,68,46,11,.329,.333,.652,6.1,1.6,1.1,0.3,0.0,-.003,-7.1,-0.3,1999
26,IND,Vonteego Cummings,University of Pittsburgh,3,199,3789,1381,373,534,.383,.321,.726,19.0,6.9,1.9,2.7,2.2,.028,-2.9,-0.9,1999
27,ATL,Jumaine Jones,University of Georgia,8,471,9780,3325,1987,408,.424,.349,.704,20.8,7.1,4.2,0.9,15.1,.074,-1.0,2.4,1999
28,UTA,Scott Padgett,University of Kentucky,8,448,5613,1874,1227,325,.410,.373,.736,12.5,4.2,2.7,0.7,13.2,.113,-0.1,2.7,1999
29,SAS,Leon Smith,,2,15,104,33,33,3,.393,,.647,6.9,2.2,2.2,0.2,0.2,.112,-4.3,-0.1,1999
30,LAL,John Celestand,Villanova University,1,16,185,37,11,20,.333,.222,.833,11.6,2.3,0.7,1.3,-0.1,-.038,-7.4,-0.3,1999
31,LAC,Rico Hill,Illinois State University,,,,,,,,,,,,,,,,,,1999
32,CHI,Michael Ruffin,University of Tulsa,9,414,5966,716,1632,250,.407,.000,.459,14.4,1.7,3.9,0.6,6.8,.055,-1.2,1.2,1999
